sharetrait_dataset attribute,sharetraitdb attribute,sharetraitdb table 
dataset_id,sharetrait_datasetid,dataset
date_of_contribution,date_contribution,dataset
type_of_reference,reference_type,dataset
doi_dataset,doi_dataset,dataset
doi_publication,doi_manuscript,manuscript
comments_reference,dataset_comment,dataset
species_reported,species_reported,population
phylum,phylum_name,ref_taxonomy
class,class_name,ref_taxonomy
order,order_name,ref_taxonomy
family,family_name,ref_taxonomy
genus,genus_name,ref_taxonomy
species,species_name,ref_taxonomy
source,taxonomy_db_ref,ref_taxonomy
taxo_level,rank_level,ref_taxonomy
comments_taxonomy,comments_taxonomy,ref_taxonomy
realm_general,site_realm_general,site
realm_specific,site_realm_specific,site
elevation_of_collection,elevation_value,site
depth_of_collection,depth_value,site
comment_location,origin,occurrence
location_description,location_description,site
comments_location,comments_location,occurrence
lat_decimal,latitude,located_in
long_decimal,longitude,located_in
year_of_collection_initial,year_collection_initial,occurrence
year_of_collection_final,year_collection_final,occurrence
yyyymmdd_of_collection_initial,observation_date_initial,occurrence
yyyymmdd_of_collection_final,observation_date_final,occurrence
comments_timing,comments_time,occurrence
experiment_location,not available as all values are null,
maintained,condition_label,experiment_setup
maintenance_duration_days,duration,condition
maintenance_duration_generations,duration_generations,condition
maintenance_temperature,temperature,condition
maintenance_photoperiod,photoperiod,condition
maintenance_humidity,humidity,condition
maintenance_oxygen,oxygen,condition
maintenance_carbon_dioxide,carbon_dioxide,condition
trait_name,sharetrait_type,trait
maintenance_salinity,salinity,condition
maintenance_ph,ph,condition
maintenance_oxygen_units,oxygen_units,condition
maintenance_carbon_dioxide_units,carbon_dioxide_units,condition
maintenance_food_type,food_type,condition
acclimated,condition_label,experiment_setup
acclimation_duration,duration_days,condition
acclimation_temperature,temperature,condition
acclimation_salinity,salinity,condition
acclimation_ph,ph,condition
acclimation_oxygen,oxygen,condition
acclimation_carbon_dioxide,carbon_dioxide,condition
acclimation_photoperiod,photoperiod,condition
acclimation_humidity,humidity,condition
acclimation_oxygen_units,oxygen_units,condition
acclimation_carbon_dioxide_units,carbon_dioxide_units,condition
acclimation_food_type,food_type,condition
test_temperature,temperature,condition
test_oxygen,oxygen,condition
test_carbon_dioxide,carbon_dioxide,condition
test_oxygen_units,oxygen_units,condition
test_carbon_dioxide_units,carbon_dioxide_units,condition
test_photoperiod,photoperiod,condition
test_humidity,humidity,condition
comments_experimental_conditions,comments_experimental_conditions,condition
test_food_type,food_type,condition
test_salinity,salinity,condition
test_ph,ph,condition
strategy_of_protection,strategy_of_protection,individual
sex,sex,individual
life_stage_general_initial,life_stage_general_initial,trait
life_stage_general_final,life_stage_general_final,trait
life_stage_specific_initial,life_stage_specific_initial,measurement
life_stage_specific_final,life_stage_specific_final,measurement
life_stage_general,life_stage_general,measurement
life_stage_specific,life_stage_specific,measurement
size_type,size_type,measurement
size_units,size_units,measurement
size_value_initial,size_value_initial,measurement
size_value_final,size_value_final,measurement
size_value,size_value,measurement
parental_size_type,parental_size_type,individual
parental_size_units,parental_size_units,individual
parental_size_value,parental_size_value,individual
parental_age,parental_age,individual
parental_age_units,parental_age_units,individual
mating,mating,individual
method_type,method_type,individual
fecundity_temporal_unit,fecundity_temporal_unit,measurement
reproductive_stage,reproductive_stage,measurement
offspring_developmental_stage,offspring_developmental_stage,individual
offspring_size_type,offspring_size_type,individual
offspring_size_units,offspring_size_units,individual
offspring_size_value,offspring_size_value,individual
metabolic_rate_type,metabolic_rate_type,chamber_describe
acclimation_chamber,chamber,acclimation_specification
fasting_time,fasting_time,acclimation_specification
sensor_type,sensor_type,respiratory_chamber
respiration_volume,respiration_volume,respiratory_chamber
delay_time,delay_time,respiratory_chamber
respiratory_chamber_material,respiratory_chamber_material,respiratory_chamber
incubation_time,incubation_time,respiratory_chamber
respirometry_type,respirometry_type,respiratory_chamber
breathing_mode,breathing_mode,respiratory_chamber
trait_value,trait_value,measurement
trait_unit,trait_unit,measurement
comments_trait,comments_trait,measurement
trait_error_estimate,trait_error_estimate,measurement
trait_error_type,trait_error_type,measurement
sample_size,sample_size,measurement
trait_converted,trait_converted,measurement
fresh_mass_gram,fresh_mass,measurement
