label,stdb_category,stdb_table_name,stdb_attribute_name,stfl_attribute_ref,comment
no,source,dataset,dataset_pk,,
no,source,dataset,title_dataset,,
yes,source,dataset,doi_dataset,doi_dataset,
yes,source,dataset,sharetrait_datasetid,dataset_id,
yes,source,dataset,reference_type,type_of_reference,
no,source,dataset,dataset_type,comments_reference,
yes,source,dataset,dataset_publisher,,
yes,source,dataset,dataset_license,,
no,source,dataset,dataset_version,,
no,source,dataset,dataset_citation,,
no,source,dataset,date_publication,,
no,source,dataset,year_publication,,
yes,source,dataset,date_contribution,date_of_contribution,
no,source,dataset,dataset_trait,,
no,source,dataset,dataset_comment,,
no,source,publication,dataset_pk,,
no,source,publication,manuscript_pk,,
no,source,manuscript,manuscript_pk,,
no,source,manuscript,title_manuscript,,
yes,source,manuscript,doi_manuscript,doi_publication,
no,source,manuscript,type_manuscript,,
no,source,manuscript,manuscript_publisher,,
no,source,manuscript,manuscript_citation,,
no,source,manuscript,date_publication,,
no,source,manuscript,year_publication,,
no,source,manuscript,manuscript_comment,,
no,taxonomy,ref_taxonomy,taxonomy_pk,,
no,taxonomy,ref_taxonomy,scientific_name,,
no,taxonomy,ref_taxonomy,taxonomy_id_ref,,
no,taxonomy,ref_taxonomy,taxonomy_db_name,,
no,taxonomy,ref_taxonomy,taxonomy_db_url,,
no,taxonomy,ref_taxonomy,taxonomy_db_version,,
no,taxonomy,ref_taxonomy,parent_id,,
no,taxonomy,ref_taxonomy,parent_name,,
yes,taxonomy,ref_taxonomy,rank_level,taxo_level,
yes,taxonomy,ref_taxonomy,phylum_name,phylum,
yes,taxonomy,ref_taxonomy,class_name,class,
yes,taxonomy,ref_taxonomy,order_name,order,
yes,taxonomy,ref_taxonomy,family_name,family,
yes,taxonomy,ref_taxonomy,genus_name,genus,
yes,taxonomy,ref_taxonomy,species_name,species,
no,taxonomy,ref_taxonomy,common_names,,
yes,taxonomy,ref_taxonomy,comment_taxonomy,comments_taxonomy,
no,taxonomy,taxonomic_label,taxonomy_pk,,
no,taxonomy,taxonomic_label,population_pk,,
no,taxonomy,taxonomic_label,name_date,,
yes,taxonomy,taxonomic_label,reference_source,source,
no,taxonomy,taxonomic_label,version_taxa,,
no,organism,describe,dataset_pk,,
no,organism,describe,population_pk,,
no,organism,describe,date_describe,,
no,organism,describe,date_iso,,
no,organism,describe,year,,
no,organism,population,population_pk,,
no,organism,population,population_id,,
no,organism,population,population_label,,
no,organism,population,population_description,,
yes,organism,population,species_reported,species_reported,
no,organism,population,authority,,
no,organism,population,populations_facts,,
no,organism,population,pop_comments,,
no,environment,occurrence,population_pk,,
no,environment,occurrence,site_pk,,
no,environment,occurrence,observation_date,,
yes,environment,occurrence,date_iso_initial,yyyymmdd_of_collection_initial,
yes,environment,occurrence,date_iso_final,yyyymmdd_of_collection_final,
yes,environment,occurrence,year_collection_initial,year_of_collection_initial,
yes,environment,occurrence,year_collection_final,year_of_collection_final,
