sharetrait_dataset_col_name,sharetrait db attribute
dataset_id,dataset.sharetrait_datasetid
date_of_contribution,dataset.date_contribution
type_of_reference,dataset.reference_type
doi_dataset,dataset.doi_dataset
doi_publication,manuscript.doi_manuscript
comments_reference,dataset.comments_reference
species_reported,population.species_reported
phylum,ref_taxonomy.phylum_name
class,ref_taxonomy.class_name
order,ref_taxonomy.order_name
family,ref_taxonomy.family_name
genus,ref_taxonomy.genus_name
species,ref_taxonomy.species_name
source,ref_taxonomy.taxonomy_db_name
taxo_level,ref_taxonomy.rank_level
comments_taxonomy,ref_taxonomy.comment_taxonomy
realm_general,site.site_realm_general
realm_specific,site.site_realm_specific
elevation_of_collection,site.elevation_value
depth_of_collection,site.depth_value
origin,occurrence.origin
location_description,located_in.location_description
comments_location,place.location_name
lat_decimal,located_in.latitude
long_decimal,located_in.longitude
year_of_collection_initial,occurrence.year_collection_initial
year_of_collection_final,occurrence.year_collection_final
yyyymmdd_of_collection_initial,occurrence.observation_date_initial
yyyymmdd_of_collection_final,occurrence.observation_date_final
comments_timing,occurrence.comment_location
experiment_location,measurement.experiment_location
maintained,condition.method_check
maintenance_duration_days,condition.duration
maintenance_duration_generations,condition.duration_generations
maintenance_temperature,condition.temperature
maintenance_photoperiod,condition.photoperiod
maintenance_humidity,condition.humidity
maintenance_oxygen,condition.oxygen
maintenance_carbon_dioxide,condition.carbon_dioxide
trait_name,trait.sharetrait_type
maintenance_salinity,condition.salinity
maintenance_ph,condition.ph
maintenance_oxygen_units,condition.oxygen_units
maintenance_carbon_dioxide_units,condition.carbon_dioxide_units
maintenance_food_type,condition.food_type
acclimated,condition.method_check
acclimation_duration,condition.duration_days
acclimation_temperature,condition.temperature
acclimation_salinity,condition.salinity
acclimation_ph,condition.ph
acclimation_oxygen,condition.oxygen
acclimation_carbon_dioxide,condition.carbon_dioxide
acclimation_photoperiod,condition.photoperiod
acclimation_humidity,condition.humidity
acclimation_oxygen_units,condition.oxygen_units
acclimation_carbon_dioxide_units,condition.carbon_dioxide_units
acclimation_food_type,condition.food_type
test_temperature,condition.temperature
test_oxygen,condition.oxygen
test_carbon_dioxide,condition.carbon_dioxide
test_oxygen_units,condition.oxygen_units
test_carbon_dioxide_units,condition.carbon_dioxide_units
test_photoperiod,condition.photoperiod
test_humidity,condition.humidity
comments_experimental_conditions,measurement.comments_experimental_conditions
test_food_type,condition.food_type
test_salinity,condition.salinity
test_ph,condition.ph
strategy_of_protection,individual.strategy_of_protection
sex,individual.sex
life_stage_general_initial,trait.life_stage_general_initial
life_stage_general_final,trait.life_stage_general_final
life_stage_specific_initial,measurement.lifestage_specific_initial
life_stage_specific_final,measurement.lifestage_specific_final
life_stage_general,measurement.life_stage_general
life_stage_specific,measurement.life_stage_specific
size_type,measurement.size_type
size_units,measurement.size_units
size_value_initial,measurement.size_value_initial
size_value_final,measurement.size_value_final
size_value,measurement.size_value
parental_size_type,individual.parent_size_type
parental_size_units,individual.parent_size_units
parental_size_value,individual.parental_size_value
parental_age,individual.parenta_age
parental_age_units,individual.parent_age_units
mating,individual.mating_method
method_type,individual.method_type
fecundity_temporal_unit,measurement.fecundity_temporal_unit
reproductive_stage,measurement.reproductive_stage
offspring_developmental_stage,individual.offspring_developmental_stage
offspring_size_type,individual.offspring_size_type
offspring_size_units,individual.offspring_size_units
offspring_size_value,individual.offspring_size_value
metabolic_rate_type,respiratory_chamber.metabolic_rate_type
acclimation_chamber,acclimation_specification.acclimation_chamber
fasting_time,acclimation_specification.fasting_time
sensor_type,respiratory_chamber.sensor_type
respiration_volume,respiratory_chamber.respiration_volume
delay_time,respiratory_chamber.delay_time
respiratory_chamber_material,respiratory_chamber.respiratory_chamber_material
incubation_time,respiratory_chamber.incubation_time
respirometry_type,respiratory_chamber.respirometry_type
breathing_mode,respiratory_chamber.breathing_mode
trait_value,measurement.trait_value
trait_unit,measurement.trait_unit
comments_trait,measurement.comments_trait
trait_error_estimate,measurement.trait_error_estimate
trait_error_type,measurement.trait_error_type
sample_size,measurement.sample_size
trait_converted,measurement.trait_converted
fresh_mass_gram,measurement.fresh_mass
