measurement_pk,acclimation_pk,specification_date
TRAMEA020423,TRAACC000010,
TRAMEA020424,TRAACC000010,
TRAMEA020425,TRAACC000010,
TRAMEA020426,TRAACC000010,
TRAMEA020427,TRAACC000010,
TRAMEA020428,TRAACC000010,
TRAMEA020429,TRAACC000010,
TRAMEA020430,TRAACC000010,
TRAMEA020431,TRAACC000010,
TRAMEA020432,TRAACC000010,
TRAMEA020433,TRAACC000010,
TRAMEA020434,TRAACC000010,
TRAMEA020435,TRAACC000010,
TRAMEA020436,TRAACC000010,
TRAMEA020437,TRAACC000010,
TRAMEA020438,TRAACC000010,
TRAMEA020439,TRAACC000010,
TRAMEA020440,TRAACC000010,
TRAMEA020441,TRAACC000010,
TRAMEA020442,TRAACC000010,
TRAMEA020443,TRAACC000010,
TRAMEA020444,TRAACC000010,
TRAMEA020445,TRAACC000010,
TRAMEA020446,TRAACC000010,
TRAMEA020447,TRAACC000010,
TRAMEA020448,TRAACC000010,
TRAMEA020449,TRAACC000010,
TRAMEA020450,TRAACC000010,
TRAMEA020451,TRAACC000010,
TRAMEA020452,TRAACC000010,
TRAMEA020453,TRAACC000010,
TRAMEA020454,TRAACC000010,
TRAMEA020455,TRAACC000010,
TRAMEA020456,TRAACC000010,
TRAMEA020457,TRAACC000010,
TRAMEA020458,TRAACC000010,
TRAMEA020459,TRAACC000010,
TRAMEA020460,TRAACC000010,
TRAMEA020461,TRAACC000010,
TRAMEA020462,TRAACC000010,
TRAMEA020463,TRAACC000010,
TRAMEA020464,TRAACC000010,
TRAMEA020465,TRAACC000010,
TRAMEA020466,TRAACC000010,
TRAMEA020467,TRAACC000010,
TRAMEA020468,TRAACC000010,
TRAMEA020469,TRAACC000010,
TRAMEA020470,TRAACC000010,
TRAMEA020471,TRAACC000010,
TRAMEA020472,TRAACC000010,
TRAMEA020473,TRAACC000010,
TRAMEA020474,TRAACC000010,
TRAMEA020475,TRAACC000010,
TRAMEA020476,TRAACC000010,
TRAMEA020477,TRAACC000010,
TRAMEA020478,TRAACC000010,
TRAMEA020479,TRAACC000010,
TRAMEA020480,TRAACC000010,
TRAMEA020481,TRAACC000010,
TRAMEA020482,TRAACC000010,
TRAMEA020483,TRAACC000010,
TRAMEA020484,TRAACC000010,
TRAMEA020485,TRAACC000010,
TRAMEA020486,TRAACC000010,
TRAMEA020487,TRAACC000010,
TRAMEA020488,TRAACC000010,
TRAMEA020489,TRAACC000010,
TRAMEA020490,TRAACC000010,
TRAMEA020491,TRAACC000010,
TRAMEA020492,TRAACC000010,
TRAMEA020493,TRAACC000010,
TRAMEA020494,TRAACC000010,
TRAMEA020495,TRAACC000010,
TRAMEA020496,TRAACC000010,
TRAMEA020497,TRAACC000010,
TRAMEA020498,TRAACC000010,
TRAMEA020499,TRAACC000010,
TRAMEA020500,TRAACC000010,
TRAMEA020501,TRAACC000010,
TRAMEA020502,TRAACC000010,
TRAMEA020503,TRAACC000010,
TRAMEA020504,TRAACC000010,
TRAMEA020505,TRAACC000010,
TRAMEA020506,TRAACC000010,
TRAMEA020507,TRAACC000010,
TRAMEA020508,TRAACC000010,
TRAMEA020509,TRAACC000010,
TRAMEA020510,TRAACC000010,
TRAMEA020511,TRAACC000010,
TRAMEA020512,TRAACC000010,
TRAMEA020513,TRAACC000010,
TRAMEA020514,TRAACC000010,
TRAMEA020515,TRAACC000010,
TRAMEA020516,TRAACC000010,
TRAMEA020517,TRAACC000010,
TRAMEA020518,TRAACC000010,
TRAMEA020519,TRAACC000010,
TRAMEA020520,TRAACC000010,
TRAMEA020521,TRAACC000010,
TRAMEA020522,TRAACC000010,
TRAMEA020523,TRAACC000010,
TRAMEA020524,TRAACC000010,
TRAMEA020525,TRAACC000010,
TRAMEA020526,TRAACC000010,
TRAMEA020527,TRAACC000010,
TRAMEA020539,TRAACC000010,
TRAMEA020540,TRAACC000010,
TRAMEA020541,TRAACC000010,
TRAMEA020542,TRAACC000010,
TRAMEA020543,TRAACC000010,
TRAMEA020544,TRAACC000010,
TRAMEA020549,TRAACC000010,
TRAMEA020550,TRAACC000010,
TRAMEA020551,TRAACC000010,
TRAMEA020557,TRAACC000010,
TRAMEA020558,TRAACC000010,
TRAMEA020559,TRAACC000010,
TRAMEA020565,TRAACC000010,
TRAMEA020566,TRAACC000010,
TRAMEA020567,TRAACC000010,
TRAMEA020572,TRAACC000010,
TRAMEA020573,TRAACC000010,
TRAMEA020574,TRAACC000010,
TRAMEA020580,TRAACC000010,
TRAMEA020581,TRAACC000010,
TRAMEA020582,TRAACC000010,
TRAMEA020588,TRAACC000010,
TRAMEA020589,TRAACC000010,
TRAMEA020590,TRAACC000010,
TRAMEA020596,TRAACC000010,
TRAMEA020597,TRAACC000010,
TRAMEA020598,TRAACC000010,
TRAMEA020603,TRAACC000010,
TRAMEA020604,TRAACC000010,
TRAMEA020605,TRAACC000010,
TRAMEA020611,TRAACC000010,
TRAMEA020612,TRAACC000010,
TRAMEA020613,TRAACC000010,
TRAMEA022005,TRAACC000010,
TRAMEA022006,TRAACC000010,
TRAMEA022007,TRAACC000010,
TRAMEA022008,TRAACC000010,
TRAMEA022009,TRAACC000010,
TRAMEA022010,TRAACC000010,
TRAMEA022011,TRAACC000010,
TRAMEA022012,TRAACC000010,
TRAMEA022013,TRAACC000010,
TRAMEA022014,TRAACC000010,
TRAMEA022015,TRAACC000010,
TRAMEA022016,TRAACC000010,
TRAMEA022017,TRAACC000010,
TRAMEA022018,TRAACC000010,
TRAMEA022019,TRAACC000010,
TRAMEA022020,TRAACC000010,
TRAMEA022021,TRAACC000010,
TRAMEA022022,TRAACC000010,
TRAMEA022023,TRAACC000010,
TRAMEA022024,TRAACC000010,
TRAMEA022025,TRAACC000010,
TRAMEA022026,TRAACC000010,
TRAMEA022027,TRAACC000010,
TRAMEA022028,TRAACC000010,
TRAMEA022029,TRAACC000010,
TRAMEA022030,TRAACC000010,
TRAMEA022031,TRAACC000010,
TRAMEA022032,TRAACC000010,
TRAMEA022033,TRAACC000010,
TRAMEA022034,TRAACC000010,
TRAMEA022035,TRAACC000010,
TRAMEA022036,TRAACC000010,
TRAMEA022037,TRAACC000010,
TRAMEA022038,TRAACC000010,
TRAMEA022039,TRAACC000010,
TRAMEA022040,TRAACC000010,
TRAMEA022041,TRAACC000010,
TRAMEA022042,TRAACC000010,
TRAMEA022043,TRAACC000010,
TRAMEA022044,TRAACC000010,
TRAMEA022045,TRAACC000010,
TRAMEA022046,TRAACC000010,
TRAMEA022047,TRAACC000010,
TRAMEA022048,TRAACC000010,
TRAMEA022049,TRAACC000010,
TRAMEA022050,TRAACC000010,
TRAMEA022051,TRAACC000010,
TRAMEA022052,TRAACC000010,
TRAMEA020528,TRAACC000011,
TRAMEA020529,TRAACC000011,
TRAMEA020530,TRAACC000011,
TRAMEA020531,TRAACC000011,
TRAMEA020532,TRAACC000011,
TRAMEA020533,TRAACC000011,
TRAMEA020534,TRAACC000011,
TRAMEA020535,TRAACC000011,
TRAMEA020536,TRAACC000011,
TRAMEA020537,TRAACC000011,
TRAMEA020538,TRAACC000011,
TRAMEA020545,TRAACC000011,
TRAMEA020546,TRAACC000011,
TRAMEA020547,TRAACC000011,
TRAMEA020548,TRAACC000011,
TRAMEA020552,TRAACC000011,
TRAMEA020553,TRAACC000011,
TRAMEA020554,TRAACC000011,
TRAMEA020555,TRAACC000011,
TRAMEA020556,TRAACC000011,
TRAMEA020560,TRAACC000011,
TRAMEA020561,TRAACC000011,
TRAMEA020562,TRAACC000011,
TRAMEA020563,TRAACC000011,
TRAMEA020564,TRAACC000011,
TRAMEA020568,TRAACC000011,
TRAMEA020569,TRAACC000011,
TRAMEA020570,TRAACC000011,
TRAMEA020571,TRAACC000011,
TRAMEA020575,TRAACC000011,
TRAMEA020576,TRAACC000011,
TRAMEA020577,TRAACC000011,
TRAMEA020578,TRAACC000011,
TRAMEA020579,TRAACC000011,
TRAMEA020583,TRAACC000011,
TRAMEA020584,TRAACC000011,
TRAMEA020585,TRAACC000011,
TRAMEA020586,TRAACC000011,
TRAMEA020587,TRAACC000011,
TRAMEA020591,TRAACC000011,
TRAMEA020592,TRAACC000011,
TRAMEA020593,TRAACC000011,
TRAMEA020594,TRAACC000011,
TRAMEA020595,TRAACC000011,
TRAMEA020599,TRAACC000011,
TRAMEA020600,TRAACC000011,
TRAMEA020601,TRAACC000011,
TRAMEA020602,TRAACC000011,
TRAMEA020606,TRAACC000011,
TRAMEA020607,TRAACC000011,
TRAMEA020608,TRAACC000011,
TRAMEA020609,TRAACC000011,
TRAMEA020610,TRAACC000011,
TRAMEA020614,TRAACC000011,
TRAMEA020615,TRAACC000011,
TRAMEA020616,TRAACC000011,
TRAMEA020617,TRAACC000011,
TRAMEA022189,TRAACC000009,
TRAMEA022190,TRAACC000009,
TRAMEA022191,TRAACC000009,
TRAMEA022192,TRAACC000009,
TRAMEA022193,TRAACC000009,
TRAMEA022194,TRAACC000009,
TRAMEA022195,TRAACC000009,
TRAMEA022196,TRAACC000009,
TRAMEA022197,TRAACC000009,
TRAMEA022198,TRAACC000009,
TRAMEA022199,TRAACC000009,
TRAMEA022200,TRAACC000009,
TRAMEA022201,TRAACC000009,
TRAMEA022202,TRAACC000009,
TRAMEA022203,TRAACC000009,
TRAMEA022204,TRAACC000009,
TRAMEA022205,TRAACC000009,
TRAMEA022206,TRAACC000009,
TRAMEA022207,TRAACC000009,
TRAMEA022208,TRAACC000009,
TRAMEA022209,TRAACC000009,
TRAMEA022210,TRAACC000009,
TRAMEA022211,TRAACC000009,
TRAMEA022212,TRAACC000009,
TRAMEA022213,TRAACC000009,
TRAMEA022214,TRAACC000009,
TRAMEA022215,TRAACC000009,
TRAMEA022216,TRAACC000009,
TRAMEA022217,TRAACC000009,
TRAMEA022218,TRAACC000009,
TRAMEA022219,TRAACC000009,
TRAMEA022220,TRAACC000009,
TRAMEA022221,TRAACC000009,
TRAMEA022222,TRAACC000009,
TRAMEA022223,TRAACC000009,
TRAMEA022224,TRAACC000009,
TRAMEA022225,TRAACC000009,
TRAMEA022226,TRAACC000009,
TRAMEA022227,TRAACC000009,
TRAMEA022228,TRAACC000009,
TRAMEA022229,TRAACC000009,
TRAMEA022230,TRAACC000009,
TRAMEA022231,TRAACC000009,
TRAMEA022232,TRAACC000009,
TRAMEA022233,TRAACC000009,
TRAMEA022234,TRAACC000009,
TRAMEA022235,TRAACC000009,
TRAMEA022236,TRAACC000009,
TRAMEA022237,TRAACC000009,
TRAMEA022238,TRAACC000009,
TRAMEA022239,TRAACC000009,
TRAMEA022240,TRAACC000009,
TRAMEA022241,TRAACC000009,
TRAMEA022242,TRAACC000009,
TRAMEA022243,TRAACC000009,
TRAMEA022244,TRAACC000009,
TRAMEA022245,TRAACC000009,
TRAMEA022246,TRAACC000009,
TRAMEA022247,TRAACC000009,
TRAMEA022248,TRAACC000009,
TRAMEA022249,TRAACC000009,
TRAMEA022250,TRAACC000009,
TRAMEA022251,TRAACC000009,
TRAMEA022252,TRAACC000009,
TRAMEA022253,TRAACC000009,
TRAMEA022254,TRAACC000009,
TRAMEA022255,TRAACC000009,
TRAMEA022256,TRAACC000009,
TRAMEA022257,TRAACC000009,
TRAMEA022258,TRAACC000009,
TRAMEA022259,TRAACC000009,
TRAMEA022260,TRAACC000009,
TRAMEA022261,TRAACC000009,
TRAMEA022262,TRAACC000009,
TRAMEA022263,TRAACC000009,
TRAMEA022264,TRAACC000009,
TRAMEA022265,TRAACC000009,
TRAMEA022266,TRAACC000009,
TRAMEA022267,TRAACC000009,
TRAMEA022268,TRAACC000009,
TRAMEA022269,TRAACC000009,
TRAMEA022270,TRAACC000009,
TRAMEA022271,TRAACC000009,
TRAMEA022272,TRAACC000009,
TRAMEA022273,TRAACC000009,
TRAMEA022274,TRAACC000009,
TRAMEA022275,TRAACC000009,
TRAMEA022276,TRAACC000009,
TRAMEA022277,TRAACC000009,
TRAMEA022278,TRAACC000009,
TRAMEA022279,TRAACC000009,
TRAMEA022280,TRAACC000009,
TRAMEA022281,TRAACC000009,
TRAMEA022282,TRAACC000009,
TRAMEA022283,TRAACC000009,
TRAMEA022284,TRAACC000009,
TRAMEA022285,TRAACC000009,
TRAMEA022286,TRAACC000009,
TRAMEA022287,TRAACC000009,
TRAMEA022288,TRAACC000009,
TRAMEA022289,TRAACC000009,
TRAMEA022290,TRAACC000009,
TRAMEA022291,TRAACC000009,
TRAMEA022292,TRAACC000009,
TRAMEA022293,TRAACC000009,
TRAMEA022294,TRAACC000009,
TRAMEA022295,TRAACC000009,
TRAMEA022296,TRAACC000009,
TRAMEA022297,TRAACC000009,
TRAMEA022298,TRAACC000009,
TRAMEA022299,TRAACC000009,
