measurement_pk,technique_pk,specification_date
TRAMEA022189,TRATEC000001,
TRAMEA022190,TRATEC000001,
TRAMEA022191,TRATEC000001,
TRAMEA022192,TRATEC000001,
TRAMEA022193,TRATEC000001,
TRAMEA022194,TRATEC000001,
TRAMEA022195,TRATEC000001,
TRAMEA022196,TRATEC000001,
TRAMEA022197,TRATEC000001,
TRAMEA022198,TRATEC000001,
TRAMEA022199,TRATEC000001,
TRAMEA022200,TRATEC000001,
TRAMEA022201,TRATEC000001,
TRAMEA022202,TRATEC000001,
TRAMEA022203,TRATEC000001,
TRAMEA022204,TRATEC000001,
TRAMEA022205,TRATEC000001,
TRAMEA022206,TRATEC000001,
TRAMEA022207,TRATEC000001,
TRAMEA022208,TRATEC000001,
TRAMEA022209,TRATEC000001,
TRAMEA022210,TRATEC000001,
TRAMEA022211,TRATEC000001,
TRAMEA022212,TRATEC000001,
TRAMEA022213,TRATEC000001,
TRAMEA022214,TRATEC000001,
TRAMEA022215,TRATEC000001,
TRAMEA022216,TRATEC000001,
TRAMEA022217,TRATEC000001,
TRAMEA022218,TRATEC000001,
TRAMEA022219,TRATEC000001,
TRAMEA022220,TRATEC000001,
TRAMEA022221,TRATEC000001,
TRAMEA022222,TRATEC000001,
TRAMEA022223,TRATEC000001,
TRAMEA022224,TRATEC000001,
TRAMEA022225,TRATEC000001,
TRAMEA022226,TRATEC000001,
TRAMEA022227,TRATEC000001,
TRAMEA022228,TRATEC000001,
TRAMEA022229,TRATEC000001,
TRAMEA022230,TRATEC000001,
TRAMEA022231,TRATEC000001,
TRAMEA022232,TRATEC000001,
TRAMEA022233,TRATEC000001,
TRAMEA022234,TRATEC000001,
TRAMEA022235,TRATEC000001,
TRAMEA022236,TRATEC000001,
TRAMEA022237,TRATEC000001,
TRAMEA022238,TRATEC000001,
TRAMEA022239,TRATEC000001,
TRAMEA022240,TRATEC000001,
TRAMEA022241,TRATEC000001,
TRAMEA022242,TRATEC000001,
TRAMEA022243,TRATEC000001,
TRAMEA022244,TRATEC000001,
TRAMEA022245,TRATEC000001,
TRAMEA022246,TRATEC000001,
TRAMEA022247,TRATEC000001,
TRAMEA022248,TRATEC000001,
TRAMEA022249,TRATEC000001,
TRAMEA022250,TRATEC000001,
TRAMEA022251,TRATEC000001,
TRAMEA022252,TRATEC000001,
TRAMEA022253,TRATEC000001,
TRAMEA022254,TRATEC000001,
TRAMEA022255,TRATEC000001,
TRAMEA022256,TRATEC000001,
TRAMEA022257,TRATEC000001,
TRAMEA022258,TRATEC000001,
TRAMEA022259,TRATEC000001,
TRAMEA022260,TRATEC000001,
TRAMEA022261,TRATEC000001,
TRAMEA022262,TRATEC000001,
TRAMEA022263,TRATEC000001,
TRAMEA022264,TRATEC000001,
TRAMEA022265,TRATEC000001,
TRAMEA022266,TRATEC000001,
TRAMEA022267,TRATEC000001,
TRAMEA022268,TRATEC000001,
TRAMEA022269,TRATEC000001,
TRAMEA022270,TRATEC000001,
TRAMEA022271,TRATEC000001,
TRAMEA022272,TRATEC000001,
TRAMEA022273,TRATEC000001,
TRAMEA022274,TRATEC000001,
TRAMEA022275,TRATEC000001,
TRAMEA022276,TRATEC000001,
TRAMEA022277,TRATEC000001,
TRAMEA022278,TRATEC000001,
TRAMEA022279,TRATEC000001,
TRAMEA022280,TRATEC000001,
TRAMEA022281,TRATEC000001,
TRAMEA022282,TRATEC000001,
TRAMEA022283,TRATEC000001,
TRAMEA022284,TRATEC000001,
TRAMEA022285,TRATEC000001,
TRAMEA022286,TRATEC000001,
TRAMEA022287,TRATEC000001,
TRAMEA022288,TRATEC000001,
TRAMEA022289,TRATEC000001,
TRAMEA022290,TRATEC000001,
TRAMEA022291,TRATEC000001,
TRAMEA022292,TRATEC000001,
TRAMEA022293,TRATEC000001,
TRAMEA022294,TRATEC000001,
TRAMEA022295,TRATEC000001,
TRAMEA022296,TRATEC000001,
TRAMEA022297,TRATEC000001,
TRAMEA022298,TRATEC000001,
TRAMEA022299,TRATEC000001,
TRAMEA022300,TRATEC000001,
TRAMEA022301,TRATEC000001,
TRAMEA022302,TRATEC000001,
TRAMEA022303,TRATEC000001,
TRAMEA022304,TRATEC000001,
TRAMEA022305,TRATEC000001,
TRAMEA022306,TRATEC000001,
TRAMEA022307,TRATEC000001,
TRAMEA022308,TRATEC000001,
TRAMEA022309,TRATEC000001,
TRAMEA022310,TRATEC000001,
TRAMEA022311,TRATEC000001,
TRAMEA022312,TRATEC000001,
TRAMEA022313,TRATEC000001,
TRAMEA022314,TRATEC000001,
TRAMEA022315,TRATEC000001,
TRAMEA022316,TRATEC000001,
TRAMEA022317,TRATEC000001,
TRAMEA022318,TRATEC000001,
TRAMEA022319,TRATEC000001,
TRAMEA022320,TRATEC000001,
TRAMEA022321,TRATEC000001,
TRAMEA022322,TRATEC000001,
TRAMEA022323,TRATEC000001,
TRAMEA022324,TRATEC000001,
TRAMEA022325,TRATEC000001,
TRAMEA022326,TRATEC000001,
TRAMEA022327,TRATEC000001,
TRAMEA022328,TRATEC000001,
TRAMEA022329,TRATEC000001,
TRAMEA022330,TRATEC000001,
TRAMEA022331,TRATEC000001,
TRAMEA022332,TRATEC000001,
TRAMEA022333,TRATEC000001,
TRAMEA022334,TRATEC000001,
TRAMEA022335,TRATEC000001,
TRAMEA022336,TRATEC000001,
TRAMEA022337,TRATEC000001,
TRAMEA022338,TRATEC000001,
TRAMEA022339,TRATEC000001,
TRAMEA022340,TRATEC000001,
TRAMEA022341,TRATEC000001,
TRAMEA022342,TRATEC000001,
TRAMEA022343,TRATEC000001,
TRAMEA022344,TRATEC000001,
TRAMEA022345,TRATEC000001,
TRAMEA022346,TRATEC000001,
TRAMEA022347,TRATEC000001,
TRAMEA022348,TRATEC000001,
TRAMEA022349,TRATEC000001,
TRAMEA022350,TRATEC000001,
TRAMEA022351,TRATEC000001,
TRAMEA022352,TRATEC000001,
TRAMEA022353,TRATEC000001,
TRAMEA022354,TRATEC000001,
TRAMEA022355,TRATEC000001,
TRAMEA022356,TRATEC000001,
TRAMEA022357,TRATEC000001,
TRAMEA022358,TRATEC000001,
TRAMEA022359,TRATEC000001,
TRAMEA022360,TRATEC000001,
TRAMEA022361,TRATEC000001,
TRAMEA022362,TRATEC000001,
TRAMEA022363,TRATEC000001,
TRAMEA022364,TRATEC000001,
TRAMEA022365,TRATEC000001,
