manuscript_pk,title_manuscript,doi_manuscript,type_manuscript,manuscript_publisher,manuscript_citation,date_publication,year_publication,manuscript_comment
TRAMAN001,,https://doi.org/10.1127/entomologia/2021/1186 ,,,,,,
TRAMAN002,,https://doi.org/10.1111/1365-2656.13138,,,,,,
TRAMAN003,,https://doi.org/10.1371/journal.pone.0058920,,,,,,
TRAMAN004,,https://doi.org/10.1086/684974,,,,,,
TRAMAN005,,https://doi.org/10.1016/j.jtherbio.2021.103140,,,,,,
TRAMAN006,,https://doi.org/10.1016/j.envpol.2023.121471,,,,,,
TRAMAN007,,https://doi.org/10.1007/s00442-013-2810-9,,,,,,
TRAMAN008,,https://doi.org/10.1111/1744-7917.12794,,,,,,
TRAMAN009,,https://doi.org/10.1016/j.cris.2022.100034,,,,,,
TRAMAN010,,https://doi.org/10.1007/s10340-017-0904-6,,,,,,
TRAMAN011,,https://doi.org/10.1016/j.jinsphys.2019.104001,,,,,,
TRAMAN012,,https://doi.org/10.3390/insects12100855,,,,,,
TRAMAN013,,https://doi.org/10.1242/jeb.242554,,,,,,
TRAMAN014,,https://doi.org/10.1017/S0025315407055282,,,,,,
TRAMAN015,,https://doi.org/10.1016/j.anbehav.2012.06.002,,,,,,
TRAMAN016,,https://doi.org/10.3390/insects12100852,,,,,,
TRAMAN017,,https://doi.org/10.1111/een.12422,,,,,,
TRAMAN018,,https://doi.org/10.14411/eje.2021.028,,,,,,
TRAMAN019,,https://doi.org/10.1093/evolut/qpac033,,,,,,
TRAMAN020,,https://doi.org/10.1016/j.fishres.2022.106522,,,,,,
TRAMAN021,,https://doi.org/10.1111/jeb.12888,,,,,,
TRAMAN022,,https://doi.org/10.3389/fevo.2021.659363,,,,,,
TRAMAN023,,https://doi.org/10.1111/1365-2435.13348,,,,,,
TRAMAN024,,https://doi.org/10.1242/jeb.224444,,,,,,
TRAMAN025,,https://doi.org/10.1093/conphys/coz092,,,,,,
TRAMAN026,,https://doi.org/10.1086/689408,,,,,,
TRAMAN027,,https://doi.org/10.1242/jeb.227124,,,,,,
TRAMAN028,,https://doi.org/10.1016/j.cbpa.2015.07.008,,,,,,
TRAMAN029,,https://doi.org/10.1242/jeb.133785,,,,,,
TRAMAN030,,https://doi.org/10.1007/s00227-018-3406-z,,,,,,
TRAMAN031,,https://doi.org/10.1242/jeb.244842,,,,,,
TRAMAN032,,https://doi.org/10.1242/jeb.119560,,,,,,
TRAMAN033,,https://doi.org/10.1242/jeb.113803,,,,,,
TRAMAN034,,https://doi.org/10.1038/s41598-018-22002-8,,,,,,
TRAMAN035,,https://doi.org/10.1098/rspb.2021.2077,,,,,,
