site_pk,site_name,site_realm_general,site_realm_specific,elevation_value,elevation_unit,depth_value,depth_unit
TRASIT001,,terrestrial,terrestrial,154,meter,,
TRASIT002,,terrestrial,terrestrial,189,meter,,
TRASIT003,,terrestrial,terrestrial,114,meter,,
TRASIT004,,terrestrial,terrestrial,469,meter,,
TRASIT005,,terrestrial,terrestrial,519,meter,,
TRASIT006,,freshwater,freshwater_pond,50,meter,0.2,
TRASIT007,,freshwater,freshwater,268,meter,0.2,
TRASIT008,,terrestrial,terrestrial,,,,
TRASIT009,,terrestrial,terrestrial,,,,
TRASIT010,,freshwater,freshwater,,,0.3,
TRASIT011,,terrestrial,,200,meter,,
TRASIT012,,freshwater,freshwater,,,,
TRASIT013,,terrestrial,terrestrial,60,meter,,
TRASIT014,,terrestrial,terrestrial,150,meter,,
TRASIT015,,terrestrial,terrestrial,,,,
TRASIT016,,terrestrial,terrestrial,8,meter,,
TRASIT017,,terrestrial,terrestrial,,,,
TRASIT018,,terrestrial,terrestrial,,,,
TRASIT019,,terrestrial,terrestrial,1,meter,,
TRASIT020,,terrestrial,terrestrial,154,meter,,
TRASIT021,,terrestrial,terrestrial,189,meter,,
TRASIT022,,terrestrial,terrestrial,114,meter,,
TRASIT023,,terrestrial,terrestrial,469,meter,,
TRASIT024,,terrestrial,terrestrial,519,meter,,
TRASIT025,,intertidal,intertidal,,,,
TRASIT026,,freshwater,freshwater,,,,
TRASIT027,,terrestrial,terrestrial,200,meter,,
TRASIT028,,terrestrial,terrestrial,,,,
TRASIT029,,terrestrial,terrestrial,200,meter,,
TRASIT030,,terrestrial,terrestrial,60,meter,,
TRASIT031,,terrestrial,terrestrial,35,meter,,
TRASIT032,,marine,marine,,,128,
TRASIT033,,marine,marine,,,250,
TRASIT034,,marine,marine,,,250,
TRASIT035,,marine,marine,,,220,
TRASIT036,,marine,marine,,,65,
TRASIT037,,marine,marine,,,80,
TRASIT038,,marine,marine,,,130,
TRASIT039,,marine,marine,,,110,
TRASIT040,,marine,marine,,,230,
TRASIT041,,marine,marine,,,70,
TRASIT042,,marine,marine,,,220,
TRASIT043,,marine,marine,,,230,
TRASIT044,,marine,marine,,,,
TRASIT045,,marine,marine,,,,
TRASIT046,,marine,marine,,,,
TRASIT047,,marine,marine,,,,
TRASIT048,,terrestrial,terrestrial,150,meter,,
TRASIT049,,terrestrial,terrestrial,150,meter,,
TRASIT050,,terrestrial,terrestrial,,,,
TRASIT051,,terrestrial,terrestrial,40,meter,,
TRASIT052,,freshwater,freshwater,,,0,
TRASIT053,,terrestrial,terrestrial,,,,
TRASIT054,,terrestrial,terrestrial,,,,
TRASIT055,,freshwater,freshwater,,,1,
TRASIT056,,freshwater,freshwater,,,1,
TRASIT057,,freshwater,freshwater,,,0.4,
TRASIT058,,freshwater,freshwater,,,0.1,
TRASIT059,,terrestrial,terrestrial,60,meter,,
TRASIT060,,terrestrial,terrestrial,60,meter,,
TRASIT061,,terrestrial,terrestrial,60,meter,,
TRASIT062,,terrestrial,terrestrial,60,meter,,
TRASIT063,Intertidal of Puntilla Tenglo_Chile,intertidal,intertidal,,,,
TRASIT064,Intertidal of Puntilla Tenglo_Chile,intertidal,intertidal,,,0,
TRASIT065,,intertidal,intertidal,,,,
TRASIT066,,terrestrial,terrestrial,35,meter,,
TRASIT067,,brackish,brackish,,,1,
TRASIT068,,brackish,brackish,,,1,
TRASIT069,,brackish,brackish,,,1,
TRASIT070,,freshwater,freshwater,,,0.1,
TRASIT071,South Drain_Somerset Levels_UK,freshwater,ditch,,,0.5,
TRASIT072,River Torridge_Devon_UK,freshwater,river,,,0.5,
TRASIT073,,terrestrial,terrestrial,1,meter,,
TRASIT074,,terrestrial,terrestrial,1,meter,,
TRASIT075,various spots in Southeast Queensland_Australia,terrestrial,terrestrial,1,meter,,
TRASIT076,,freshwater,freshwater,,,,
