condition_pk,temperature_value,temperature_unit,oxygen_value,oxygen_unit,carbondioxide_value,carbondioxide_unit,photoperiod,salinity_value,salinity_unit,pH_value,food_type,duration_days,duration_unit,duration_generations,comments_experiment,humidity_value,humidity_unit
TRACON001,10,celsius,,,,,8L_16D,,,,,,,,,,
TRACON002,20,celsius,,,,,16L_8D,,,,,30,days,3,,65,
TRACON003,18,celsius,,,,,24L_0D,,,,ethanol medium,,,,,,
TRACON004,19,celsius,,,,,18L_6D,,,,David's killed-yeast Drosophila medium,,,,,,
TRACON005,20,celsius,,,,,,,,,,,,3,,,
TRACON006,20,celsius,,,,,12L_12D,,,,,,,,,,
TRACON007,20,celsius,,,,,12L_12D,,,,,,,4,,,
TRACON008,19,celsius,,,,,,,,,,,,,,,
TRACON009,19,celsius,,,,,,,,,,240,days,,,,
TRACON010,28,celsius,,,,,,,,,,,,,,,
TRACON011,28,celsius,,,,,,,,,,,,,,,
TRACON012,20,celsius,,,,,14L_10D,,,,acacia honey and drosophila hosts,,,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,
TRACON013,20,celsius,,,,,14L_10D,,,,,1460,days,,,,
TRACON014,20,celsius,,,200,uatm,12L_12D,,,,,,,,,70,
TRACON015,20,celsius,,,200,uatm,12L_12D,,,,,,,6,,70,
TRACON016,16,celsius,,,,,8L_16D,,,,Adult butterflies were fed with artificial nectar provided through artificial flowers,,,,Generation 1,,
TRACON017,8,celsius,,,,,16L_8D,,,,,549,days,,,,
TRACON018,28,celsius,21,kPa,400,ppm,16L_8D,,,,honey,,,,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),95,
TRACON019,23,celsius,21,kPa,400,ppm,16L_8D,,,,,650,days,25,,95,
TRACON020,27,celsius,,,,,12L_12D,,,,,,,,,77,
TRACON021,27,celsius,,,,,12L_12D,,,,,90,days,,,77,
TRACON022,,,20,,,,8L_16D,,,,Apple trees,,,,maternal generation at 20 centigrades,,
TRACON023,,,20,,,,16L_8D,,,,,,,,,,
TRACON024,7,celsius,,,,,,,,,,,,,constant temperature,,
TRACON025,18,celsius,33,,60,,16L_8D,,,,,,,,,,
TRACON026,10,celsius,,,,,,,,,,,,,,,
TRACON027,10,celsius,,,,,0L_24D,,,,,,,,Two week temperature shift from maintenance 10C administered 13 weeks after start of the Experiment,,
