population_pk,individual_pk
TRAPOP001,TRAIND001
TRAPOP001,TRAIND002
TRAPOP001,TRAIND003
TRAPOP002,TRAIND004
TRAPOP002,TRAIND005
TRAPOP002,TRAIND006
TRAPOP003,TRAIND007
TRAPOP003,TRAIND008
TRAPOP003,TRAIND009
TRAPOP004,TRAIND010
TRAPOP004,TRAIND011
TRAPOP004,TRAIND012
TRAPOP005,TRAIND013
TRAPOP005,TRAIND014
TRAPOP005,TRAIND015
TRAPOP006,TRAIND016
TRAPOP006,TRAIND017
TRAPOP006,TRAIND018
TRAPOP007,TRAIND019
TRAPOP007,TRAIND020
TRAPOP007,TRAIND021
TRAPOP008,TRAIND022
TRAPOP008,TRAIND023
TRAPOP008,TRAIND024
TRAPOP009,TRAIND025
TRAPOP009,TRAIND026
TRAPOP009,TRAIND027
TRAPOP010,TRAIND028
TRAPOP010,TRAIND029
TRAPOP010,TRAIND030
TRAPOP010,TRAIND031
TRAPOP010,TRAIND032
TRAPOP010,TRAIND033
TRAPOP011,TRAIND034
TRAPOP011,TRAIND035
TRAPOP011,TRAIND036
TRAPOP012,TRAIND037
TRAPOP012,TRAIND038
TRAPOP012,TRAIND039
TRAPOP013,TRAIND040
TRAPOP013,TRAIND041
TRAPOP013,TRAIND042
TRAPOP014,TRAIND043
TRAPOP014,TRAIND044
TRAPOP014,TRAIND045
TRAPOP015,TRAIND046
TRAPOP015,TRAIND047
TRAPOP015,TRAIND048
TRAPOP016,TRAIND049
TRAPOP016,TRAIND050
TRAPOP016,TRAIND051
TRAPOP017,TRAIND052
TRAPOP017,TRAIND053
TRAPOP017,TRAIND054
TRAPOP018,TRAIND055
TRAPOP018,TRAIND056
TRAPOP018,TRAIND057
TRAPOP019,TRAIND058
TRAPOP019,TRAIND059
TRAPOP019,TRAIND060
TRAPOP020,TRAIND061
TRAPOP020,TRAIND062
TRAPOP020,TRAIND063
TRAPOP021,TRAIND064
TRAPOP021,TRAIND065
TRAPOP021,TRAIND066
TRAPOP022,TRAIND067
TRAPOP022,TRAIND068
TRAPOP022,TRAIND069
