dataset_pk,population_pk,date_describe,date_iso,year
TRADAT001,TRAPOP001,,,
TRADAT001,TRAPOP002,,,
TRADAT001,TRAPOP003,,,
TRADAT001,TRAPOP004,,,
TRADAT001,TRAPOP005,,,
TRADAT002,TRAPOP006,,,
TRADAT002,TRAPOP007,,,
TRADAT003,TRAPOP008,,,
TRADAT003,TRAPOP009,,,
TRADAT004,TRAPOP010,,,
TRADAT005,TRAPOP011,,,
TRADAT006,TRAPOP012,,,
TRADAT007,TRAPOP013,,,
TRADAT007,TRAPOP014,,,
TRADAT007,TRAPOP015,,,
TRADAT007,TRAPOP016,,,
TRADAT008,TRAPOP017,,,
TRADAT009,TRAPOP018,,,
TRADAT010,TRAPOP019,,,
TRADAT010,TRAPOP020,,,
TRADAT011a,TRAPOP021,,,
TRADAT011b,TRAPOP022,,,
TRADAT011b,TRAPOP023,,,
TRADAT012,TRAPOP024,,,
TRADAT013,TRAPOP001,,,
TRADAT013,TRAPOP002,,,
TRADAT013,TRAPOP003,,,
TRADAT013,TRAPOP004,,,
TRADAT013,TRAPOP005,,,
TRADAT014,TRAPOP025,,,
TRADAT015,TRAPOP026,,,
TRADAT016a,TRAPOP027,,,
TRADAT016b,TRAPOP028,,,
TRADAT017,TRAPOP029,,,
TRADAT018,TRAPOP030,,,
TRADAT019,TRAPOP013,,,
TRADAT019,TRAPOP014,,,
TRADAT019,TRAPOP015,,,
TRADAT019,TRAPOP016,,,
TRADAT020,TRAPOP031,,,
TRADAT021,TRAPOP032,,,
TRADAT021,TRAPOP033,,,
TRADAT021,TRAPOP034,,,
TRADAT021,TRAPOP035,,,
TRADAT021,TRAPOP036,,,
TRADAT021,TRAPOP037,,,
TRADAT021,TRAPOP038,,,
TRADAT021,TRAPOP039,,,
TRADAT021,TRAPOP040,,,
TRADAT021,TRAPOP041,,,
TRADAT021,TRAPOP042,,,
TRADAT021,TRAPOP043,,,
TRADAT021,TRAPOP044,,,
TRADAT022,TRAPOP017,,,
TRADAT023,TRAPOP045,,,
TRADAT024,TRAPOP046,,,
TRADAT025,TRAPOP047,,,
TRADAT026,TRAPOP048,,,
TRADAT027,TRAPOP008,,,
TRADAT027,TRAPOP009,,,
TRADAT028a,TRAPOP049,,,
TRADAT028b,TRAPOP050,,,
TRADAT029,TRAPOP051,,,
TRADAT030,TRAPOP052,,,
TRADAT031,TRAPOP013,,,
TRADAT031,TRAPOP014,,,
TRADAT031,TRAPOP015,,,
TRADAT031,TRAPOP016,,,
TRADAT032a,TRAPOP053,,,
TRADAT032b,TRAPOP054,,,
TRADAT032c,TRAPOP055,,,
TRADAT033,TRAPOP056,,,
TRADAT034,TRAPOP057,,,
TRADAT034,TRAPOP058,,,
TRADAT034,TRAPOP059,,,
TRADAT035,TRAPOP060,,,
TRADAT036,TRAPOP061,,,
TRADAT036,TRAPOP062,,,
TRADAT037,TRAPOP063,,,
TRADAT037,TRAPOP064,,,
TRADAT038,TRAPOP065,,,
TRADAT039,TRAPOP066,,,
