site_pk,place_pk,latitude_decimal,longitude_decimal,location_description,location_reference
TRASIT001,TRAPLA001,,,,Rancagua_Chile
TRASIT002,TRAPLA002,,,,Talca_Chile
TRASIT003,TRAPLA003,,,,Chillan_Chile
TRASIT004,TRAPLA004,,,,Pinto_Chile
TRASIT005,TRAPLA005,,,,Temuco_Chile
TRASIT008,TRAPLA006,,,,San_Fernando_Chile
TRASIT009,TRAPLA007,,,,Valdivia_Chile
TRASIT012,TRAPLA008,51.15530556,4.398777778,,
TRASIT013,TRAPLA009,48.35138889,0.5122222222,,
TRASIT015,TRAPLA010,52.08927778,5.694166667,,
