measurement_pk,individual_pk,trait_pk,trait_type,trait_value,trait_unit,trait_error_estimate,trait_error_type,trait_converted,individual_developmental_stage,fresh_mass,fresh_mass_unit,sample_size,size_condition,size_value,size_value_initial,size_value_final,size_unit,size_type,life_stage_general,life_stage_specific,life_stage_specific_initial,life_stage_specific_final,comment_trait,measure_date
TRAMEA001,TRAIND001,TRATRA003,development,39,Days,,,,,,,,,,,,,,,,,,,
TRAMEA002,TRAIND002,TRATRA003,development,46,Days,,,,,,,,,,,,,,,,,,,
TRAMEA003,TRAIND003,TRATRA003,development,42,Days,,,,,,,,,,,,,,,,,,,
TRAMEA004,TRAIND004,TRATRA003,development,39,Days,,,,,,,,,,,,,,,,,,,
TRAMEA005,TRAIND005,TRATRA003,development,37.5,Days,,,,,,,,,,,,,,,,,,,
TRAMEA006,TRAIND006,TRATRA003,development,38,Days,,,,,,,,,,,,,,,,,,,
TRAMEA007,TRAIND007,TRATRA003,development,38.5,Days,,,,,,,,,,,,,,,,,,,
TRAMEA008,TRAIND008,TRATRA003,development,38,Days,,,,,,,,,,,,,,,,,,,
TRAMEA009,TRAIND009,TRATRA003,development,38,Days,,,,,,,,,,,,,,,,,,,
TRAMEA010,TRAIND010,TRATRA003,development,39,Days,,,,,,,,,,,,,,,,,,,
TRAMEA011,TRAIND011,TRATRA003,development,39,Days,,,,,,,,,,,,,,,,,,,
TRAMEA012,TRAIND012,TRATRA003,development,39.5,Days,,,,,,,,,,,,,,,,,,,
TRAMEA013,TRAIND013,TRATRA003,development,39.5,Days,,,,,,,,,,,,,,,,,,,
TRAMEA014,TRAIND014,TRATRA003,development,40,Days,,,,,,,,,,,,,,,,,,,
TRAMEA015,TRAIND015,TRATRA003,development,,,,,,,,,,,,,,,,,,,,,
TRAMEA016,TRAIND016,TRATRA006,development,35,Days,,,,,,,,,0.9861,,,gram,fresh body mass,,,,,,
TRAMEA017,TRAIND017,TRATRA006,development,34,Days,,,,,,,,,0.9321,,,gram,fresh body mass,,,,,,
TRAMEA018,TRAIND018,TRATRA006,development,33,Days,,,,,,,,,0.7495,,,gram,fresh body mass,,,,,,
TRAMEA019,TRAIND019,TRATRA007,development,32,Days,,,,,,,,,0.4668,,,gram,fresh body mass,,,,,,
TRAMEA020,TRAIND020,TRATRA007,development,37,Days,,,,,,,,,0.452,,,gram,fresh body mass,,,,,,
TRAMEA021,TRAIND021,TRATRA007,development,35,Days,,,,,,,,,0.4093,,,gram,fresh body mass,,,,,,
TRAMEA022,TRAIND022,TRATRA003,development,16,Days,,,,,,,,,,,,,,,,,,,
TRAMEA023,TRAIND023,TRATRA003,development,16,Days,,,,,,,,,,,,,,,,,,,
TRAMEA024,TRAIND024,TRATRA003,development,14,Days,,,,,,,,,,,,,,,,,,,
TRAMEA025,TRAIND025,TRATRA003,development,16,Days,,,,,,,,,,,,,,,,,,,
TRAMEA026,TRAIND026,TRATRA003,development,15,Days,,,,,,,,,,,,,,,,,,,
TRAMEA027,TRAIND027,TRATRA003,development,17,Days,,,,,,,,,,,,,,,,,,,
TRAMEA028,TRAIND028,TRATRA013,development,5,Days,,,,,,,,,41,,,milligram,fresh body mass,,,Gosner stage 25,Gosner stage 26,,
TRAMEA029,TRAIND029,TRATRA013,development,5,Days,,,,,,,,,49,,,milligram,fresh body mass,,,Gosner stage 25,Gosner stage 26,,
TRAMEA030,TRAIND030,TRATRA013,development,5,Days,,,,,,,,,46,,,milligram,fresh body mass,,,Gosner stage 25,Gosner stage 26,,
TRAMEA031,TRAIND031,TRATRA019,development,54,Days,,,,,,,,,947,,,milligram,fresh body mass,,,Gosner stage 25,Gosner stage 42,,
TRAMEA032,TRAIND032,TRATRA019,development,57,Days,,,,,,,,,1087,,,milligram,fresh body mass,,,Gosner stage 25,Gosner stage 42,,
TRAMEA033,TRAIND033,TRATRA019,development,57,Days,,,,,,,,,799,,,milligram,fresh body mass,,,Gosner stage 25,Gosner stage 42,,
TRAMEA034,TRAIND034,TRATRA003,development,11,Days,,,,,,,,,0.44,,,millimeter,tibia size,,,,,,
