population_pk,site_pk,observation_date,date_iso_initial,date_iso_final,year_collection_initial,year_collection_final,comments_time,origin
TRAPOP001,TRASIT001,,,,2018,2018,,field
TRAPOP002,TRASIT001,,,,2018,,,field
TRAPOP003,TRASIT001,,,,2018,,,field
TRAPOP004,TRASIT002,,,,2018,,,field
TRAPOP005,TRASIT002,,,,2018,,,field
TRAPOP006,TRASIT002,,,,2018,,,field
TRAPOP007,TRASIT003,,,,2018,,,field
TRAPOP008,TRASIT003,,,,2018,,,field
TRAPOP009,TRASIT003,,,,2018,,,field
TRAPOP010,TRASIT004,,,,2018,,,field
TRAPOP011,TRASIT004,,,,2018,,,field
TRAPOP012,TRASIT004,,,,2018,,,field
TRAPOP013,TRASIT005,,,,2018,,,field
TRAPOP014,TRASIT005,,,,2018,,,field
TRAPOP015,TRASIT005,,,,2018,,,field
TRAPOP016,TRASIT006,,,,2018,,,field
TRAPOP017,TRASIT006,,,,2014,,,field
TRAPOP018,TRASIT006,,,,2014,,,field
TRAPOP019,TRASIT007,,,,2014,,,field
TRAPOP020,TRASIT007,,,,2014,,,field
TRAPOP021,TRASIT007,,,,2014,,,field
TRAPOP022,TRASIT008,,,,2014,,,field
TRAPOP023,TRASIT008,,,,2009,,,field
TRAPOP024,TRASIT008,,,,2009,,,field
TRAPOP025,TRASIT009,,,,2009,,,field
TRAPOP026,TRASIT009,,,,2009,,,field
TRAPOP027,TRASIT009,,,,2009,,,field
TRAPOP028,TRASIT010,,,,2009,,,field
TRAPOP029,TRASIT010,,,,2009,,,lab
TRAPOP030,TRASIT010,,,,2009,,,lab
TRAPOP031,TRASIT010,,,,2009,,,lab
TRAPOP032,TRASIT010,,,,2009,,,lab
TRAPOP033,TRASIT010,,,,2009,,,lab
TRAPOP034,TRASIT011,,,,2009,,,lab
TRAPOP035,TRASIT011,,,,2015,,,lab
TRAPOP036,TRASIT011,,,,2015,,,lab
TRAPOP037,TRASIT012,,,,2015,,,lab
TRAPOP038,TRASIT012,,,,2016,,,field
TRAPOP039,TRASIT012,,,,2016,,,field
TRAPOP040,TRASIT013,,,,2016,,,field
TRAPOP041,TRASIT013,,,,2008,,,field
TRAPOP042,TRASIT013,,,,2008,,,field
TRAPOP043,TRASIT013,,,,2008,,,field
TRAPOP044,TRASIT013,,,,2008,,,field
TRAPOP045,TRASIT013,,,,2008,,,field
TRAPOP046,TRASIT013,,,,2008,,,field
TRAPOP047,TRASIT013,,,,2008,,,field
TRAPOP048,TRASIT013,,,,2008,,,field
TRAPOP049,TRASIT013,,,,2008,,,field
TRAPOP050,TRASIT013,,,,2008,,,field
TRAPOP051,TRASIT013,,,,2008,,,field
TRAPOP052,TRASIT014,,,,2008,,,field
TRAPOP053,TRASIT014,,,,2017,,,lab
TRAPOP054,TRASIT014,,,,2017,,,lab
TRAPOP055,TRASIT015,,,,2017,,,lab
TRAPOP056,TRASIT015,,,,2015,,,field
TRAPOP057,TRASIT015,,,,2015,,,field
TRAPOP058,TRASIT016,,,,2015,,,field
TRAPOP059,TRASIT016,,,,2012,,,lab
TRAPOP060,TRASIT016,,,,2012,,,lab
TRAPOP061,TRASIT016,,,,2012,,,lab
TRAPOP062,TRASIT016,,,,2012,,,lab
TRAPOP063,TRASIT016,,,,2012,,,lab
TRAPOP064,TRASIT017,,,,2012,,,lab
TRAPOP065,TRASIT017,,,,,,,
TRAPOP066,TRASIT017,,,,,,,
