condition_pk,temperature,photoperiod,humidity,oxygen,carbon_dioxide,salinity,ph,oxygen_units,carbon_dioxide_units,food_type,duration,duration_generations,method_check
TRACON000001,10.0,8L_16D,,,,,,,,,,,test
TRACON000002,20.0,16L_8D,65.0,,,,,,,,30.0,3.0,maintenance
TRACON002499,14.0,10L_14D,,,,,,,,,,,test
TRACON005109,20.0,16L_8D,,,,,,,,,,,test
TRACON007387,18.0,24L_0D,,,,,,,,,,,test
TRACON007413,18.0,18L_6D,,,,,,,,,,,test
TRACON007490,19.0,18L_6D,,,,,,,,,,,test
TRACON007491,4.0,,,,,,,,,,,,maintenance
TRACON007606,15.0,18L_6D,,,,,,,,,,,test
TRACON008882,20.0,12L_12D,,,,,,,,ethanol medium,,,test
TRACON008883,20.0,12L_12D,,,,,,,,David's killed-yeast Drosophila medium,,4.0,maintenance
TRACON009520,20.0,12L_12D,,,,,,,,ethanol-free medium,,,test
TRACON010376,19.0,,,,,,,,,,,,test
TRACON010377,19.0,,,,,,,,,,,,maintenance
TRACON010782,24.0,,,,,,,,,,,,test
TRACON010783,24.0,,,,,,,,,,,,maintenance
TRACON011830,28.0,,,,,,,,,,,,test
TRACON011831,28.0,,,,,,,,,,,,maintenance
TRACON012002,20.0,,,,,,,,,,,,test
TRACON012003,20.0,,,,,,,,,,,,maintenance
TRACON012134,10.0,,,,,,,,,,,,test
TRACON012135,10.0,,,,,,,,,,,,maintenance
TRACON012270,20.0,14L_10D,,,,,,,,,,,test
TRACON012271,20.0,14L_10D,,,,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",,,maintenance
TRACON015872,20.0,12L_12D,70.0,,200.0,,,,uatm,,,,test
TRACON015873,20.0,12L_12D,70.0,,200.0,,,,uatm,acacia honey and drosophila hosts,240.0,6.0,maintenance
TRACON015922,23.0,12L_12D,70.0,,200.0,,,,uatm,,,,test
TRACON016872,16.0,8L_16D,,,,,,,,,,,test
TRACON017054,8.0,8L_16D,,,,,,,,,,,test
TRACON017263,16.0,16L_8D,,,,,,,,,,,test
TRACON017443,8.0,16L_8D,,,,,,,,,,,test
TRACON018181,28.0,16L_8D,95.0,21.0,400.0,,,kPa,ppm,,,,test
TRACON018182,23.0,16L_8D,95.0,21.0,400.0,,,kPa,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,1460.0,25.0,maintenance
TRACON018239,28.0,12L_12D,95.0,21.0,400.0,,,kPa,ppm,,,,test
TRACON018301,23.0,16L_8D,95.0,21.0,400.0,,,kPa,ppm,,,,test
TRACON018361,23.0,12L_12D,95.0,21.0,400.0,,,kPa,ppm,,,,test
TRACON018387,18.0,16L_8D,95.0,21.0,400.0,,,kPa,ppm,,,,test
TRACON018447,18.0,12L_12D,95.0,21.0,400.0,,,kPa,ppm,,,,test
TRACON018489,27.0,12L_12D,77.0,,,,,,,,,,test
TRACON018490,27.0,12L_12D,77.0,,,,,,,Honey,,,maintenance
TRACON018590,27.0,12L_12D,77.0,,,,,,,,,,maintenance
TRACON018669,,8L_16D,75.0,20.0,,,,,,,,,test
TRACON018670,20.0,16L_8D,75.0,,,,,,,,549.0,,maintenance
TRACON019029,,8L_16D,75.0,14.0,,,,,,,,,test
TRACON023349,7.0,,,,,,,,,,,,test
TRACON023350,18.0,16L_8D,60.0,,,,,,,Apple trees,650.0,33.0,maintenance
TRACON023380,17.0,,,,,,,,,,,,test
TRACON023404,12.0,,,,,,,,,,,,test
TRACON023690,10.0,0L_24D,,,,,,,,,90.0,0.0,maintenance
TRACON023834,10.0,0L_24D,,,,,,,,,55.0,0.0,maintenance
TRACON023869,15.0,,,,,,,,,,,,test
TRACON023901,5.0,,,,,,,,,,,,test
TRACON023934,10.0,0L_24D,,,,,,,,,48.0,0.0,maintenance
TRACON024134,10.0,0L_24D,,,,,,,,,41.0,0.0,maintenance
TRACON024296,10.0,0L_24D,,,,,,,,,76.0,0.0,maintenance
TRACON024390,10.0,0L_24D,,,,,,,,,69.0,0.0,maintenance
TRACON024520,10.0,0L_24D,,,,,,,,,13.0,0.0,maintenance
TRACON024676,10.0,0L_24D,,,,,,,,,83.0,0.0,maintenance
TRACON024928,10.0,0L_24D,,,,,,,,,62.0,0.0,maintenance
TRACON025088,10.0,0L_24D,,,,,,,,,20.0,0.0,maintenance
TRACON025326,10.0,0L_24D,,,,,,,,,27.0,0.0,maintenance
TRACON025436,10.0,0L_24D,,,,,,,,,34.0,0.0,maintenance
TRACON038755,20.0,12L_12D,,,,,,,,,,,test
TRACON038756,20.0,12L_12D,,,,,,,,broadleaf lettuce,48.0,1.0,maintenance
TRACON039103,10.0,,,,,,,,,,,,acclimation
TRACON039173,20.0,,,,,,,,,,,,acclimation
TRACON039241,28.0,,,,,,,,,,,,acclimation
TRACON039312,27.0,,60.0,,,,,,,,,,test
TRACON039313,27.0,12L_12D,60.0,,,,,,,Potato tuber moth and honey,4000.0,130.0,maintenance
TRACON039492,24.0,16L_8D,60.0,,,,,,,,,,test
TRACON039493,24.0,16L_8D,60.0,,,,,,,Cacopsylla pyri hosts producing honeydew,60.0,2.0,maintenance
TRACON040636,21.0,12L_12D,,,,,,,,,,,test
TRACON040637,21.0,12L_12D,,,,,,,,David's killed-yeast Drosophila medium,,27.0,maintenance
TRACON040817,18.0,16L_8D,65.0,,,,,,,Diluted honey 50%,30.0,2.0,maintenance
TRACON041137,18.0,16L_8D,65.0,,,,,,,,650.0,32.0,maintenance
TRACON041138,7.0,,,,,,,,,,,,acclimation
TRACON041174,12.0,,,,,,,,,,,,acclimation
TRACON041210,17.0,,,,,,,,,,,,acclimation
TRACON041256,26.0,14L_10D,65.0,,,,,,,,,,test
TRACON041257,26.0,14L_10D,65.0,,,,,,,dried bird food and fresh apple slices,,3.0,maintenance
TRACON041416,20.0,16L_8D,55.0,,,,,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,14.0,1.0,maintenance
TRACON041472,26.0,,,,,,,,,,,,test
TRACON041473,26.0,,,,,,,,,,,,maintenance
TRACON041496,32.0,,,,,,,,,,,,test
TRACON041497,32.0,,,,,,,,,,,,maintenance
TRACON041504,29.0,,,,,,,,,,,,test
TRACON041505,29.0,,,,,,,,,,,,maintenance
TRACON042716,20.0,12L_12D,,,,,,,,ethanol medium,,,acclimation
TRACON043166,20.0,12L_12D,,,,,,,,ethanol-free medium,,,acclimation
TRACON044955,28.0,,,19.5,,0.0,7.1,kPa,,,,,test
TRACON044956,26.0,12L_12D,,19.5,,0.0,7.1,kPa,,Pelleted diet- Ridley Aqua-feeds,14.0,1.0,maintenance
TRACON044957,28.0,12L_12D,,19.5,,0.0,7.1,kPa,,Pelleted diet- Ridley Aqua-feeds,56.0,,acclimation
TRACON045011,32.0,12L_12D,,19.5,,0.0,7.1,kPa,,Pelleted diet- Ridley Aqua-feeds,56.0,,acclimation
TRACON045063,32.0,,,19.5,,0.0,7.1,kPa,,,,,test
TRACON045171,36.0,,,19.5,,0.0,7.1,kPa,,,,,test
TRACON045603,21.5,12L_12D,,19.5,,0.0,7.0,kPa,,,,,test
TRACON045604,21.5,12L_12D,,19.5,,0.0,7.0,kPa,,"pellets (0.2 mm Ridley Aqua-feeds, Melbourne, Australia) and bloodworms (Orca, Nijimi Pty Ltd, Sydney, Australia)",28.0,1.0,maintenance
TRACON045605,21.5,12L_12D,,19.5,,0.0,7.0,kPa,,"Pelleted diet- Ridley Aqua-feeds and and bloodworms (Orca, Nijimi Pty Ltd, Sydney, Australia)",28.0,,acclimation
