individual_pk,population_pk
TRAIND000001,TRAPOP001
TRAIND000002,TRAPOP001
TRAIND000003,TRAPOP001
TRAIND000004,TRAPOP001
TRAIND000005,TRAPOP001
TRAIND000006,TRAPOP001
TRAIND000007,TRAPOP001
TRAIND000008,TRAPOP001
TRAIND000009,TRAPOP001
TRAIND000010,TRAPOP001
TRAIND000011,TRAPOP001
TRAIND000012,TRAPOP001
TRAIND000013,TRAPOP001
TRAIND000014,TRAPOP001
TRAIND000015,TRAPOP001
TRAIND000016,TRAPOP001
TRAIND000017,TRAPOP001
TRAIND000018,TRAPOP001
TRAIND000019,TRAPOP001
TRAIND000020,TRAPOP001
TRAIND000021,TRAPOP001
TRAIND000022,TRAPOP001
TRAIND000023,TRAPOP001
TRAIND000024,TRAPOP001
TRAIND000025,TRAPOP001
TRAIND000026,TRAPOP001
TRAIND000027,TRAPOP001
TRAIND000028,TRAPOP001
TRAIND000029,TRAPOP001
TRAIND000030,TRAPOP001
TRAIND000031,TRAPOP001
TRAIND000032,TRAPOP001
TRAIND000033,TRAPOP001
TRAIND000034,TRAPOP001
TRAIND000035,TRAPOP001
TRAIND000036,TRAPOP001
TRAIND000037,TRAPOP001
TRAIND000038,TRAPOP001
TRAIND000039,TRAPOP001
TRAIND000040,TRAPOP001
TRAIND000041,TRAPOP001
TRAIND000042,TRAPOP001
TRAIND000043,TRAPOP001
TRAIND000044,TRAPOP001
TRAIND000045,TRAPOP001
TRAIND000046,TRAPOP001
TRAIND000047,TRAPOP001
TRAIND000048,TRAPOP001
TRAIND000049,TRAPOP001
TRAIND000050,TRAPOP001
TRAIND000051,TRAPOP001
TRAIND000052,TRAPOP001
TRAIND000053,TRAPOP001
TRAIND000054,TRAPOP001
TRAIND000055,TRAPOP001
TRAIND000056,TRAPOP001
TRAIND000057,TRAPOP001
TRAIND000058,TRAPOP001
TRAIND000059,TRAPOP001
TRAIND000060,TRAPOP001
TRAIND000061,TRAPOP001
TRAIND000062,TRAPOP001
TRAIND000063,TRAPOP001
TRAIND000064,TRAPOP001
TRAIND000065,TRAPOP001
TRAIND000066,TRAPOP001
TRAIND000067,TRAPOP001
TRAIND000068,TRAPOP001
TRAIND000069,TRAPOP001
TRAIND000070,TRAPOP001
TRAIND000071,TRAPOP001
TRAIND000072,TRAPOP001
TRAIND000073,TRAPOP001
TRAIND000074,TRAPOP001
TRAIND000075,TRAPOP001
TRAIND000076,TRAPOP001
TRAIND000077,TRAPOP001
TRAIND000078,TRAPOP001
TRAIND000079,TRAPOP001
TRAIND000080,TRAPOP001
TRAIND000081,TRAPOP001
TRAIND000082,TRAPOP001
TRAIND000083,TRAPOP001
TRAIND000084,TRAPOP001
TRAIND000085,TRAPOP001
TRAIND000086,TRAPOP001
TRAIND000087,TRAPOP001
TRAIND000088,TRAPOP001
TRAIND000089,TRAPOP001
TRAIND000090,TRAPOP001
TRAIND000091,TRAPOP001
TRAIND000092,TRAPOP001
TRAIND000093,TRAPOP001
TRAIND000094,TRAPOP001
TRAIND000095,TRAPOP001
TRAIND000096,TRAPOP001
TRAIND000097,TRAPOP001
TRAIND000098,TRAPOP001
TRAIND000099,TRAPOP001
TRAIND000100,TRAPOP001
TRAIND000101,TRAPOP001
TRAIND000102,TRAPOP001
TRAIND000103,TRAPOP001
TRAIND000104,TRAPOP001
TRAIND000105,TRAPOP001
TRAIND000106,TRAPOP001
TRAIND000107,TRAPOP001
TRAIND000108,TRAPOP001
TRAIND000109,TRAPOP001
TRAIND000110,TRAPOP001
TRAIND000111,TRAPOP001
TRAIND000112,TRAPOP001
TRAIND000113,TRAPOP001
TRAIND000114,TRAPOP001
TRAIND000115,TRAPOP001
TRAIND000116,TRAPOP001
TRAIND000117,TRAPOP001
TRAIND000118,TRAPOP001
TRAIND000119,TRAPOP001
TRAIND000120,TRAPOP001
TRAIND000121,TRAPOP001
TRAIND000122,TRAPOP001
TRAIND000123,TRAPOP001
TRAIND000124,TRAPOP001
TRAIND000125,TRAPOP001
TRAIND000126,TRAPOP001
TRAIND000127,TRAPOP001
TRAIND000128,TRAPOP001
TRAIND000129,TRAPOP001
TRAIND000130,TRAPOP001
TRAIND000131,TRAPOP001
TRAIND000132,TRAPOP001
TRAIND000133,TRAPOP001
TRAIND000134,TRAPOP001
TRAIND000135,TRAPOP001
TRAIND000136,TRAPOP001
TRAIND000137,TRAPOP001
TRAIND000138,TRAPOP001
TRAIND000139,TRAPOP001
TRAIND000140,TRAPOP001
TRAIND000141,TRAPOP001
TRAIND000142,TRAPOP001
TRAIND000143,TRAPOP001
TRAIND000144,TRAPOP001
TRAIND000145,TRAPOP001
TRAIND000146,TRAPOP001
TRAIND000147,TRAPOP001
TRAIND000148,TRAPOP001
TRAIND000149,TRAPOP001
TRAIND000150,TRAPOP001
TRAIND000151,TRAPOP001
TRAIND000152,TRAPOP001
TRAIND000153,TRAPOP001
TRAIND000154,TRAPOP001
TRAIND000155,TRAPOP001
TRAIND000156,TRAPOP001
TRAIND000157,TRAPOP001
TRAIND000158,TRAPOP001
TRAIND000159,TRAPOP001
