condition_pk,temperature,photoperiod,humidity,oxygen,carbon_dioxide,salinity,pH,oxygen_units,carbon_dioxide_units,food_type,duration,duration_generations,method_check
TRACON000001,10,8L_16D,,,,,,,,,,,test
TRACON000002,20,16L_8D,65,,,,,,,,30,3.0,maintenance
TRACON002499,14,10L_14D,,,,,,,,,,,test
TRACON005109,20,16L_8D,,,,,,,,,,,test
TRACON007387,18,24L_0D,,,,,,,,,,,test
TRACON007413,18,18L_6D,,,,,,,,,,,test
TRACON007490,19,18L_6D,,,,,,,,,,,test
TRACON007491,4,,,,,,,,,,,,maintenance
TRACON007606,15,18L_6D,,,,,,,,,,,test
TRACON008882,20,12L_12D,,,,,,,,ethanol medium,,,test
TRACON008883,20,12L_12D,,,,,,,,David's killed-yeast Drosophila medium,,4.0,maintenance
TRACON009520,20,12L_12D,,,,,,,,ethanol-free medium,,,test
TRACON010376,19,,,,,,,,,,,,test
TRACON010377,19,,,,,,,,,,,,maintenance
TRACON010782,24,,,,,,,,,,,,test
TRACON010783,24,,,,,,,,,,,,maintenance
TRACON011830,28,,,,,,,,,,,,test
TRACON011831,28,,,,,,,,,,,,maintenance
TRACON012002,20,,,,,,,,,,,,test
TRACON012003,20,,,,,,,,,,,,maintenance
TRACON012134,10,,,,,,,,,,,,test
TRACON012135,10,,,,,,,,,,,,maintenance
TRACON012270,20,14L_10D,,,,,,,,,,,test
TRACON012271,20,14L_10D,,,,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",,,maintenance
TRACON015872,20,12L_12D,70,,200,,,,uatm,,,,test
TRACON015873,20,12L_12D,70,,200,,,,uatm,acacia honey and drosophila hosts,240,6.0,maintenance
TRACON015922,23,12L_12D,70,,200,,,,uatm,,,,test
TRACON016872,16,8L_16D,,,,,,,,,,,test
TRACON017054,8,8L_16D,,,,,,,,,,,test
TRACON017263,16,16L_8D,,,,,,,,,,,test
TRACON017443,8,16L_8D,,,,,,,,,,,test
TRACON018181,28,16L_8D,95,21,400,,,kPa,ppm,,,,test
TRACON018182,23,16L_8D,95,21,400,,,kPa,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,1460,25.0,maintenance
TRACON018239,28,12L_12D,95,21,400,,,kPa,ppm,,,,test
TRACON018301,23,16L_8D,95,21,400,,,kPa,ppm,,,,test
TRACON018361,23,12L_12D,95,21,400,,,kPa,ppm,,,,test
TRACON018387,18,16L_8D,95,21,400,,,kPa,ppm,,,,test
TRACON018447,18,12L_12D,95,21,400,,,kPa,ppm,,,,test
TRACON018489,27,12L_12D,77,,,,,,,,,,test
TRACON018490,27,12L_12D,77,,,,,,,Honey,,,maintenance
TRACON018590,27,12L_12D,77,,,,,,,,,,maintenance
TRACON018669,,8L_16D,75,20,,,,,,,,,test
TRACON018670,20,16L_8D,75,,,,,,,,549,,maintenance
TRACON019029,,8L_16D,75,14,,,,,,,,,test
TRACON023349,7,,,,,,,,,,,,test
TRACON023350,18,16L_8D,60,,,,,,,Apple trees,650,33.0,maintenance
TRACON023380,17,,,,,,,,,,,,test
TRACON023404,12,,,,,,,,,,,,test
TRACON023690,10,0L_24D,,,,,,,,,90,0.0,maintenance
TRACON023834,10,0L_24D,,,,,,,,,55,0.0,maintenance
TRACON023869,15,,,,,,,,,,,,test
TRACON023901,5,,,,,,,,,,,,test
TRACON023934,10,0L_24D,,,,,,,,,48,0.0,maintenance
TRACON024134,10,0L_24D,,,,,,,,,41,0.0,maintenance
TRACON024296,10,0L_24D,,,,,,,,,76,0.0,maintenance
TRACON024390,10,0L_24D,,,,,,,,,69,0.0,maintenance
TRACON024520,10,0L_24D,,,,,,,,,13,0.0,maintenance
TRACON024676,10,0L_24D,,,,,,,,,83,0.0,maintenance
TRACON024928,10,0L_24D,,,,,,,,,62,0.0,maintenance
TRACON025088,10,0L_24D,,,,,,,,,20,0.0,maintenance
TRACON025326,10,0L_24D,,,,,,,,,27,0.0,maintenance
TRACON025436,10,0L_24D,,,,,,,,,34,0.0,maintenance
TRACON038755,20,12L_12D,,,,,,,,,,,test
TRACON038756,20,12L_12D,,,,,,,,broadleaf lettuce,48,1.0,maintenance
TRACON039103,10,,,,,,,,,,,,acclimation
TRACON039173,20,,,,,,,,,,,,acclimation
TRACON039241,28,,,,,,,,,,,,acclimation
TRACON039312,27,,60,,,,,,,,,,test
TRACON039313,27,12L_12D,60,,,,,,,Potato tuber moth and honey,4000,130.0,maintenance
TRACON039492,24,16L_8D,60,,,,,,,,,,test
TRACON039493,24,16L_8D,60,,,,,,,Cacopsylla pyri hosts producing honeydew,60,2.0,maintenance
TRACON040636,21,12L_12D,,,,,,,,,,,test
TRACON040637,21,12L_12D,,,,,,,,David's killed-yeast Drosophila medium,,27.0,maintenance
TRACON040817,18,16L_8D,65,,,,,,,Diluted honey 50%,30,2.0,maintenance
TRACON041137,18,16L_8D,65,,,,,,,,650,32.0,maintenance
