measurement_pk,condition_pk,condition_label,setup_date,experiment_location
TRAMEA000001,TRACON000001,test,,
TRAMEA000001,TRACON000002,maintenance,,
TRAMEA000002,TRACON000001,test,,
TRAMEA000002,TRACON000002,maintenance,,
TRAMEA000003,TRACON000001,test,,
TRAMEA000003,TRACON000002,maintenance,,
TRAMEA000004,TRACON000001,test,,
TRAMEA000004,TRACON000002,maintenance,,
TRAMEA000005,TRACON000001,test,,
TRAMEA000005,TRACON000002,maintenance,,
TRAMEA000006,TRACON000001,test,,
TRAMEA000006,TRACON000002,maintenance,,
TRAMEA000007,TRACON000001,test,,
TRAMEA000007,TRACON000002,maintenance,,
TRAMEA000008,TRACON000001,test,,
TRAMEA000008,TRACON000002,maintenance,,
TRAMEA000009,TRACON000001,test,,
TRAMEA000009,TRACON000002,maintenance,,
TRAMEA000010,TRACON000001,test,,
TRAMEA000010,TRACON000002,maintenance,,
TRAMEA000011,TRACON000001,test,,
TRAMEA000011,TRACON000002,maintenance,,
TRAMEA000012,TRACON000001,test,,
TRAMEA000012,TRACON000002,maintenance,,
TRAMEA000013,TRACON000001,test,,
TRAMEA000013,TRACON000002,maintenance,,
TRAMEA000014,TRACON000001,test,,
TRAMEA000014,TRACON000002,maintenance,,
TRAMEA000015,TRACON000001,test,,
TRAMEA000015,TRACON000002,maintenance,,
TRAMEA000016,TRACON000001,test,,
TRAMEA000016,TRACON000002,maintenance,,
TRAMEA000017,TRACON000001,test,,
TRAMEA000017,TRACON000002,maintenance,,
TRAMEA000018,TRACON000001,test,,
TRAMEA000018,TRACON000002,maintenance,,
TRAMEA000019,TRACON000001,test,,
TRAMEA000019,TRACON000002,maintenance,,
TRAMEA000020,TRACON000001,test,,
TRAMEA000020,TRACON000002,maintenance,,
TRAMEA000021,TRACON000001,test,,
TRAMEA000021,TRACON000002,maintenance,,
TRAMEA000022,TRACON000001,test,,
TRAMEA000022,TRACON000002,maintenance,,
TRAMEA000023,TRACON000001,test,,
TRAMEA000023,TRACON000002,maintenance,,
TRAMEA000024,TRACON000001,test,,
TRAMEA000024,TRACON000002,maintenance,,
TRAMEA000025,TRACON000001,test,,
TRAMEA000025,TRACON000002,maintenance,,
TRAMEA000026,TRACON000001,test,,
TRAMEA000026,TRACON000002,maintenance,,
TRAMEA000027,TRACON000001,test,,
TRAMEA000027,TRACON000002,maintenance,,
TRAMEA000028,TRACON000001,test,,
TRAMEA000028,TRACON000002,maintenance,,
TRAMEA000029,TRACON000001,test,,
TRAMEA000029,TRACON000002,maintenance,,
TRAMEA000030,TRACON000001,test,,
TRAMEA000030,TRACON000002,maintenance,,
TRAMEA000031,TRACON000001,test,,
TRAMEA000031,TRACON000002,maintenance,,
TRAMEA000032,TRACON000001,test,,
TRAMEA000032,TRACON000002,maintenance,,
TRAMEA000033,TRACON000001,test,,
TRAMEA000033,TRACON000002,maintenance,,
TRAMEA000034,TRACON000001,test,,
TRAMEA000034,TRACON000002,maintenance,,
TRAMEA000035,TRACON000001,test,,
TRAMEA000035,TRACON000002,maintenance,,
TRAMEA000036,TRACON000001,test,,
TRAMEA000036,TRACON000002,maintenance,,
TRAMEA000037,TRACON000001,test,,
TRAMEA000037,TRACON000002,maintenance,,
TRAMEA000038,TRACON000001,test,,
TRAMEA000038,TRACON000002,maintenance,,
TRAMEA000039,TRACON000001,test,,
TRAMEA000039,TRACON000002,maintenance,,
TRAMEA000040,TRACON000001,test,,
TRAMEA000040,TRACON000002,maintenance,,
TRAMEA000041,TRACON000001,test,,
TRAMEA000041,TRACON000002,maintenance,,
TRAMEA000042,TRACON000001,test,,
TRAMEA000042,TRACON000002,maintenance,,
TRAMEA000043,TRACON000001,test,,
TRAMEA000043,TRACON000002,maintenance,,
TRAMEA000044,TRACON000001,test,,
TRAMEA000044,TRACON000002,maintenance,,
TRAMEA000045,TRACON000001,test,,
TRAMEA000045,TRACON000002,maintenance,,
TRAMEA000046,TRACON000001,test,,
TRAMEA000046,TRACON000002,maintenance,,
TRAMEA000047,TRACON000001,test,,
TRAMEA000047,TRACON000002,maintenance,,
TRAMEA000048,TRACON000001,test,,
TRAMEA000048,TRACON000002,maintenance,,
TRAMEA000049,TRACON000001,test,,
TRAMEA000049,TRACON000002,maintenance,,
TRAMEA000050,TRACON000001,test,,
TRAMEA000050,TRACON000002,maintenance,,
TRAMEA000051,TRACON000001,test,,
TRAMEA000051,TRACON000002,maintenance,,
TRAMEA000052,TRACON000001,test,,
TRAMEA000052,TRACON000002,maintenance,,
TRAMEA000053,TRACON000001,test,,
TRAMEA000053,TRACON000002,maintenance,,
TRAMEA000054,TRACON000001,test,,
TRAMEA000054,TRACON000002,maintenance,,
TRAMEA000055,TRACON000001,test,,
TRAMEA000055,TRACON000002,maintenance,,
TRAMEA000056,TRACON000001,test,,
TRAMEA000056,TRACON000002,maintenance,,
TRAMEA000057,TRACON000001,test,,
TRAMEA000057,TRACON000002,maintenance,,
TRAMEA000058,TRACON000001,test,,
TRAMEA000058,TRACON000002,maintenance,,
TRAMEA000059,TRACON000001,test,,
TRAMEA000059,TRACON000002,maintenance,,
TRAMEA000060,TRACON000001,test,,
TRAMEA000060,TRACON000002,maintenance,,
TRAMEA000061,TRACON000001,test,,
TRAMEA000061,TRACON000002,maintenance,,
TRAMEA000062,TRACON000001,test,,
TRAMEA000062,TRACON000002,maintenance,,
TRAMEA000063,TRACON000001,test,,
TRAMEA000063,TRACON000002,maintenance,,
TRAMEA000064,TRACON000001,test,,
TRAMEA000064,TRACON000002,maintenance,,
TRAMEA000065,TRACON000001,test,,
TRAMEA000065,TRACON000002,maintenance,,
TRAMEA000066,TRACON000001,test,,
TRAMEA000066,TRACON000002,maintenance,,
TRAMEA000067,TRACON000001,test,,
TRAMEA000067,TRACON000002,maintenance,,
TRAMEA000068,TRACON000001,test,,
TRAMEA000068,TRACON000002,maintenance,,
TRAMEA000069,TRACON000001,test,,
TRAMEA000069,TRACON000002,maintenance,,
TRAMEA000070,TRACON000001,test,,
TRAMEA000070,TRACON000002,maintenance,,
TRAMEA000071,TRACON000001,test,,
TRAMEA000071,TRACON000002,maintenance,,
TRAMEA000072,TRACON000001,test,,
TRAMEA000072,TRACON000002,maintenance,,
TRAMEA000073,TRACON000001,test,,
TRAMEA000073,TRACON000002,maintenance,,
TRAMEA000074,TRACON000001,test,,
TRAMEA000074,TRACON000002,maintenance,,
TRAMEA000075,TRACON000001,test,,
TRAMEA000075,TRACON000002,maintenance,,
TRAMEA000076,TRACON000001,test,,
TRAMEA000076,TRACON000002,maintenance,,
TRAMEA000077,TRACON000001,test,,
TRAMEA000077,TRACON000002,maintenance,,
TRAMEA000078,TRACON000001,test,,
TRAMEA000078,TRACON000002,maintenance,,
TRAMEA000079,TRACON000001,test,,
TRAMEA000079,TRACON000002,maintenance,,
TRAMEA000080,TRACON000001,test,,
TRAMEA000080,TRACON000002,maintenance,,
TRAMEA000081,TRACON000001,test,,
TRAMEA000081,TRACON000002,maintenance,,
TRAMEA000082,TRACON000001,test,,
TRAMEA000082,TRACON000002,maintenance,,
TRAMEA000083,TRACON000001,test,,
TRAMEA000083,TRACON000002,maintenance,,
TRAMEA000084,TRACON000001,test,,
TRAMEA000084,TRACON000002,maintenance,,
TRAMEA000085,TRACON000001,test,,
TRAMEA000085,TRACON000002,maintenance,,
TRAMEA000086,TRACON000001,test,,
TRAMEA000086,TRACON000002,maintenance,,
TRAMEA000087,TRACON000001,test,,
TRAMEA000087,TRACON000002,maintenance,,
TRAMEA000088,TRACON000001,test,,
TRAMEA000088,TRACON000002,maintenance,,
TRAMEA000089,TRACON000001,test,,
TRAMEA000089,TRACON000002,maintenance,,
TRAMEA000090,TRACON000001,test,,
TRAMEA000090,TRACON000002,maintenance,,
TRAMEA000091,TRACON000001,test,,
TRAMEA000091,TRACON000002,maintenance,,
TRAMEA000092,TRACON000001,test,,
TRAMEA000092,TRACON000002,maintenance,,
TRAMEA000093,TRACON000001,test,,
TRAMEA000093,TRACON000002,maintenance,,
TRAMEA000094,TRACON000001,test,,
TRAMEA000094,TRACON000002,maintenance,,
TRAMEA000095,TRACON000001,test,,
TRAMEA000095,TRACON000002,maintenance,,
TRAMEA000096,TRACON000001,test,,
TRAMEA000096,TRACON000002,maintenance,,
TRAMEA000097,TRACON000001,test,,
TRAMEA000097,TRACON000002,maintenance,,
TRAMEA000098,TRACON000001,test,,
TRAMEA000098,TRACON000002,maintenance,,
TRAMEA000099,TRACON000001,test,,
TRAMEA000099,TRACON000002,maintenance,,
TRAMEA000100,TRACON000001,test,,
TRAMEA000100,TRACON000002,maintenance,,
TRAMEA000101,TRACON000001,test,,
TRAMEA000101,TRACON000002,maintenance,,
TRAMEA000102,TRACON000001,test,,
TRAMEA000102,TRACON000002,maintenance,,
TRAMEA000103,TRACON000001,test,,
TRAMEA000103,TRACON000002,maintenance,,
TRAMEA000104,TRACON000001,test,,
TRAMEA000104,TRACON000002,maintenance,,
TRAMEA000105,TRACON000001,test,,
TRAMEA000105,TRACON000002,maintenance,,
TRAMEA000106,TRACON000001,test,,
TRAMEA000106,TRACON000002,maintenance,,
TRAMEA000107,TRACON000001,test,,
TRAMEA000107,TRACON000002,maintenance,,
TRAMEA000108,TRACON000001,test,,
TRAMEA000108,TRACON000002,maintenance,,
TRAMEA000109,TRACON000001,test,,
TRAMEA000109,TRACON000002,maintenance,,
TRAMEA000110,TRACON000001,test,,
TRAMEA000110,TRACON000002,maintenance,,
TRAMEA000111,TRACON000001,test,,
TRAMEA000111,TRACON000002,maintenance,,
TRAMEA000112,TRACON000001,test,,
TRAMEA000112,TRACON000002,maintenance,,
TRAMEA000113,TRACON000001,test,,
TRAMEA000113,TRACON000002,maintenance,,
TRAMEA000114,TRACON000001,test,,
TRAMEA000114,TRACON000002,maintenance,,
TRAMEA000115,TRACON000001,test,,
TRAMEA000115,TRACON000002,maintenance,,
TRAMEA000116,TRACON000001,test,,
TRAMEA000116,TRACON000002,maintenance,,
TRAMEA000117,TRACON000001,test,,
TRAMEA000117,TRACON000002,maintenance,,
TRAMEA000118,TRACON000001,test,,
TRAMEA000118,TRACON000002,maintenance,,
TRAMEA000119,TRACON000001,test,,
TRAMEA000119,TRACON000002,maintenance,,
TRAMEA000120,TRACON000001,test,,
